id,Population,Area (km2),Population/km2,ESA (000s),JSA (000s),IS (000s),Total (000s),% on benefits,People on benefits/km2
E14000591,145634,18,8091,1.74,5.8,2.19,9.73,6.681132153,541
E14000592,137146,21,6531,0.76,3.13,0.78,4.67,3.405130299,222
E14000593,135830,27,5031,0.74,2.93,0.35,4.02,2.95958183,149
E14000594,96456,317,304,0.47,1.9,0.32,2.69,2.788836361,8
E14000595,111557,1122,99,0.7,3.32,0.2,4.22,3.782819545,4
E14000596,88198,663,133,0.65,2.71,0.61,3.97,4.501235856,6
E14000597,95971,43,2232,1.01,5,0.7,6.71,6.991695408,156
E14000598,113063,29,3899,0.62,4.06,0.61,5.29,4.678807391,182
E14000599,100368,24,4182,1.07,4.65,0.81,6.53,6.506057708,272
E14000600,105388,169,624,1.2,4.17,0.69,6.06,5.750180286,36
E14000601,112588,25,4504,1.76,5.84,0.85,8.45,7.505240345,338
E14000602,135869,17,7992,0.94,4.79,1.23,6.96,5.12258131,409
E14000603,97757,765,128,0.46,2.54,0.23,3.23,3.304111215,4
E14000604,94464,29,3257,0.98,2.62,0.53,4.13,4.372035908,142
E14000605,96769,217,446,0.49,2.08,0.41,2.98,3.0794986,14
E14000606,102148,67,1525,0.93,2.56,0.53,4.02,3.935466186,60
E14000607,97775,66,1481,0.57,2.83,0.58,3.98,4.070570187,60
E14000608,103809,867,120,0.39,1.5,0.26,2.15,2.071111368,2
E14000609,87522,111,788,1.16,5.13,0.79,7.08,8.089394666,64
E14000610,105642,243,435,0.81,3.8,0.41,5.02,4.751897919,21
E14000611,89296,51,1751,0.73,3.62,0.72,5.07,5.677745924,99
E14000612,99373,48,2070,0.88,4.4,0.68,5.96,5.997604983,124
E14000613,116321,502,232,0.65,2.68,0.43,3.76,3.232434384,7
E14000614,105058,306,343,0.83,3.92,0.55,5.3,5.044832378,17
E14000615,132045,11,12004,1.69,4.98,0.92,7.59,5.748040441,690
E14000616,90012,284,317,0.9,3.95,0.58,5.43,6.032528996,19
E14000617,122556,36,3404,0.74,3.32,0.5,4.56,3.720748066,127
E14000618,98534,79,1247,1.07,3.67,0.46,5.2,5.277366188,66
E14000619,118340,258,459,0.89,3.08,0.61,4.58,3.870204496,18
E14000620,86670,212,409,0.73,4.08,0.39,5.2,5.99976924,25
E14000621,101399,25,4056,0.61,2.33,0.21,3.15,3.106539512,126
E14000622,89731,64,1402,0.64,2.48,0.36,3.48,3.87825835,54
E14000623,91972,1415,65,0.48,2.42,0.25,3.15,3.424955421,2
E14000624,100381,796,126,0.52,2.07,0.33,2.92,2.908917026,4
E14000625,100860,172,586,0.46,2.25,0.19,2.9,2.875272655,17
E14000626,102115,62,1647,1.32,3.58,0.86,5.76,5.640699212,93
E14000627,93222,39,2390,0.32,2.06,0.27,2.65,2.842676621,68
E14000628,109644,42,2611,0.81,2.7,0.63,4.14,3.775856408,99
E14000629,106813,9,11868,0.58,2.68,0.43,3.69,3.454635672,410
E14000630,106703,37,2884,0.66,3.32,0.44,4.42,4.142339016,119
E14000631,95103,196,485,0.34,1.49,0.28,2.11,2.218647151,11
E14000632,94131,47,2003,0.94,5.06,0.73,6.73,7.149610649,143
E14000633,108732,647,168,0.61,2.46,0.44,3.51,3.228120516,5
E14000634,94251,19,4961,0.73,2.46,0.68,3.87,4.10605723,204
E14000635,98876,168,589,0.66,2.59,0.33,3.58,3.62069663,21
E14000636,118839,35,3395,0.73,2.93,0.71,4.37,3.677244002,125
E14000637,101442,155,654,0.63,3.69,0.54,4.86,4.790915006,31
E14000638,86039,110,782,0.4,2.08,0.27,2.75,3.196224968,25
