PCON11CD,Figure to use
E14000810,0.708629135
E14000811,0.519275309
E14000812,0.588084347
E14000813,0.528804536
E14000814,0.524707075
E14000815,0.570831648
E14000816,0.605981283
E14000817,0.464405928
E14000818,0.593865282
E14000819,0.660836466
E14000820,0.652655299
E14000821,0.496650905
E14000822,0.53081404
E14000823,0.446865238
E14000824,0.473113276
E14000825,0.581856206
E14000826,0.598172774
E14000827,0.601781451
E14000828,0.552576565
E14000829,0.557006959
E14000830,0.478055628
E14000831,0.480030798
E14000832,0.410712554
E14000833,0.568289241
E14000834,0.616449863
E14000835,0.560133703
E14000836,0.692552829
E14000837,0.601925003
E14000838,0.570384794
E14000839,0.566086028
E14000840,0.60304872
E14000841,0.534376055
E14000842,0.693543227
E14000843,0.620516723
E14000844,0.461789136
E14000845,0.514300732
E14000846,0.516345075
E14000847,0.580189343
E14000848,0.584002867
E14000849,0.598481186
E14000850,0.475836991
E14000851,0.572856138
E14000852,0.651825616
E14000853,0.595207188
E14000854,0.6776303
E14000855,0.56934097
E14000856,0.550462004
E14000857,0.547548756
E14000858,0.606984777
E14000859,0.657782861
E14000860,0.503021498
E14000861,0.602712901
E14000862,0.589952188
E14000863,0.567266216
E14000864,0.405303001
E14000865,0.428793221
E14000866,0.63808056
E14000867,0.464677648
E14000868,0.645059931
E14000869,0.624304876
E14000870,0.599204345
E14000871,0.613082972
E14000872,0.575414984
E14000873,0.325263375
E14000874,0.38029241
E14000875,0.631542958
E14000876,0.606512766
E14000877,0.552024096
E14000878,0.613095947
E14000879,0.6644024
E14000880,0.544052353
E14000881,0.574193151
E14000882,0.34207637
E14000883,0.636934145
E14000884,0.517630344
E14000885,0.556726597
E14000886,0.485843639
E14000887,0.277642331
E14000888,0.676526737
E14000889,0.382533265
E14000890,0.515101462
E14000891,0.676748838
E14000892,0.609899582
E14000893,0.479769787
E14000894,0.587308918
E14000895,0.547104369
E14000896,0.286856313
E14000897,0.574500359
E14000898,0.63688123
E14000899,0.609203445
E14000900,0.692856492
E14000901,0.460755865
E14000902,0.589357362
E14000903,0.667219886
E14000904,0.683459631
E14000905,0.586175818
E14000906,0.495438455
E14000907,0.498469717
E14000908,0.414661238
E14000909,0.538778694
E14000910,0.512395335
E14000911,0.535934575
E14000912,0.499081401
E14000913,0.6131829
E14000914,0.686755472
E14000915,0.594357506
E14000916,0.440885873
E14000917,0.576526008
E14000918,0.540405142
E14000919,0.319119726
E14000920,0.663178181
E14000921,0.599736792
E14000922,0.340060651
E14000923,0.571613101
E14000924,0.636577392
E14000925,0.522113445
E14000926,0.529205779
E14000927,0.653644888
E14000928,0.531871441
E14000929,0.615831667
E14000930,0.54056915
E14000931,0.533483085
E14000932,0.503281438
E14000933,0.729955717
E14000934,0.384889637
E14000935,0.60351001
E14000936,0.594456091
E14000937,0.453048188
E14000938,0.550987058
E14000939,0.710714432
E14000940,0.581420532
E14000941,0.508843534
E14000942,0.533380205
E14000943,0.566389437
E14000944,0.620525327
E14000945,0.652428172
E14000946,0.540262007
E14000947,0.516530941
E14000948,0.61691047
E14000949,0.580834155
E14000950,0.550762028
E14000951,0.461954801
E14000952,0.666739569
E14000953,0.407497131
E14000954,0.568813673
E14000955,0.602947342
E14000956,0.494121812
E14000957,0.55074581
E14000958,0.462928366
E14000959,0.60299599
E14000960,0.37832281
E14000961,0.640636337
E14000962,0.583928578
E14000963,0.560537411
E14000964,0.547660454
E14000965,0.574625083
E14000966,0.646904325
E14000967,0.592907293
E14000968,0.570369086
E14000969,0.467893218
E14000970,0.663249694
E14000971,0.577643917
E14000972,0.648466478
E14000973,0.721235856
E14000974,0.711074062
E14000975,0.575352222
E14000976,0.636639833
E14000977,0.510016676
E14000978,0.205396741
E14000979,0.489054855
E14000980,0.458621591
E14000981,0.552125757
E14000982,0.599381653
E14000983,0.51851554
E14000984,0.512838788
E14000985,0.516743769
E14000986,0.659923587
E14000987,0.456315582
E14000988,0.529247106
E14000989,0.66191034
E14000990,0.536487467
E14000991,0.479241838
E14000992,0.593223132
E14000993,0.564327811
E14000994,0.521900806
E14000995,0.702553097
E14000996,0.578205268
E14000997,0.528574319
E14000998,0.255875841
E14000999,0.62453668
E14001000,0.571897604
E14001001,0.538913636
E14001002,0.237770263
E14001003,0.458503699
E14001004,0.446463372
E14001005,0.333158577
E14001006,0.476370041
E14001007,0.571873736
E14001008,0.224283962
E14001009,0.627650673
E14001010,0.499231196
E14001011,0.741852182
E14001012,0.616352759
E14001013,0.334885855
E14001014,0.56289907
E14001015,0.46459651
E14001016,0.616275351
E14001017,0.580743911
E14001018,0.511100543
E14001019,0.41640274
E14001020,0.618513324
E14001021,0.511519779
E14001022,0.634142191
E14001023,0.527748349
E14001024,0.50552837
E14001025,0.630196654
E14001026,0.536303482
E14001027,0.528225561
E14001028,0.702792954
E14001029,0.681750179
E14001030,0.686708936
E14001031,0.510392986
E14001032,0.479650184
E14001033,0.549508129
E14001034,0.632487003
E14001035,0.525193924
E14001036,0.336548028
E14001037,0.470561736
E14001038,0.57201446
E14001039,0.629588907
E14001040,0.293693947
E14001041,0.396373786
E14001042,0.46659077
E14001043,0.465489416
E14001044,0.446901996
E14001045,0.604684298
E14001046,0.463446575
E14001047,0.442519336
E14001048,0.426940889
E14001049,0.677052519
E14001050,0.681449563
E14001051,0.543675021
E14001052,0.536772433
E14001053,0.61010184
E14001054,0.597911332
E14001055,0.560165191
E14001056,0.484619161
E14001057,0.541988663
E14001058,0.631454747
E14001059,0.496480992
E14001060,0.598655446
E14001061,0.388206767
E14001062,0.446677162
S14000001,0.430922087
S14000002,0.321431052
S14000003,0.398381266
S14000004,0.482443342
S14000005,0.394323969
S14000006,0.441115509
S14000007,0.613773463
S14000008,0.432586814
S14000009,0.51339391
S14000010,0.416221328
S14000011,0.387765475
S14000012,0.369891249
S14000013,0.45110854
S14000014,0.446451668
S14000015,0.384116704
S14000016,0.407456334
S14000017,0.393928374
S14000018,0.268681963
S14000019,0.369324131
S14000020,0.353955957
S14000021,0.256814189
S14000022,0.276367854
S14000023,0.217955235
S14000024,0.221533874
S14000025,0.278616465
S14000026,0.287660196
S14000027,0.439006772
S14000028,0.421058823
S14000029,0.287506085
S14000030,0.438373141
S14000031,0.216204743
S14000032,0.406576167
S14000033,0.31492853
S14000034,0.281918886
S14000035,0.40864367
S14000036,0.476138884
S14000037,0.388188652
S14000038,0.362034214
S14000039,0.401324389
S14000040,0.394546665
S14000041,0.43261454
S14000042,0.359562057
S14000043,0.42018303
S14000044,0.432609029
S14000045,0.379409695
S14000046,0.498731967
S14000047,0.377103561
S14000048,0.423965875
S14000049,0.363147835
S14000050,0.395023841
S14000051,0.402813083
S14000052,0.355479443
S14000053,0.347952793
S14000054,0.399016464
S14000055,0.434930294
S14000056,0.375699018
S14000057,0.321961127
S14000058,0.385194827
S14000059,0.38005553
W07000041,0.509420042
W07000042,0.544088866
W07000043,0.580533688
W07000044,0.575742546
W07000045,0.566745967
W07000046,0.493087327
W07000047,0.434007848
W07000048,0.617925537
W07000049,0.60124484
W07000050,0.320145785
W07000051,0.391478544
W07000052,0.604499008
W07000053,0.607752165
W07000054,0.480645083
W07000055,0.593309312
W07000056,0.536570798
W07000057,0.35845443
W07000058,0.521971173
W07000059,0.530131181
W07000060,0.565590817
W07000061,0.474282288
W07000062,0.598838563
W07000063,0.558429442
W07000064,0.453701374
W07000065,0.553168878
W07000066,0.551631174
