ccode,first17,turnout17,majority
E14000642,Con,63.7,15828
E14000643,Con,65.8,10400
E14000644,Con,66.9,5677
E14000645,Lab,71.6,915
E14000646,Con,73.3,12619
E14000647,Con,69.5,1695
E14000648,Con,72.3,2690
E14000649,Lab,61.4,15580
E14000650,Lab,66.3,8580
E14000651,Lab,66.5,7947
E14000652,Con,68.5,2457
E14000653,Lab,69.7,48
E14000654,Lab,71.3,5652
E14000655,Lab,68.2,32365
E14000656,Con,73.3,11406
E14000657,Lab,64.9,4652
E14000658,Lab,67.6,3280
E14000659,Con,69.1,13186
E14000660,Con,74,21734
E14000661,Lab,60.2,14077
E14000662,Lab,69.6,2015
E14000663,Lab,64.8,11248
E14000664,Con,76.9,14327
E14000665,Con,70.1,21136
E14000666,Lab,69.5,3321
E14000667,Lab,62.2,5169
E14000668,Lab,60,10131
E14000669,Lab,58.5,14024
E14000670,Con,69.7,6437
E14000671,Lab,62.7,22
E14000672,Con,62.4,7730
E14000673,Lab,71.9,28156
E14000674,Lab,74.6,13807
E14000675,Lab,70.2,19693
E14000676,Lab,69.3,22090
E14000677,Lab,58.3,14892
E14000678,Con,73.3,8036
E14000679,Lab,67.5,39883
E14000680,Con,74.7,25852
E14000681,Con,72.2,23914
E14000682,Con,70.3,5106
E14000683,Con,66.6,15006
E14000684,LD,72.9,1609
E14000685,Con,70.5,14179
E14000686,Con,73,11942
E14000687,Lab,66.4,21115
E14000688,Lab,74.2,11390
E14000689,Con,74.2,9805
E14000690,Lab,71.6,6296
E14000691,Lab,71.3,10247
E14000692,Lab,74.1,4355
E14000693,Con,67.9,18243
E14000694,Con,74.1,20475
E14000695,Con,68.2,4534
E14000696,Lab,63.8,10014
E14000697,Con,73.9,23298
E14000698,Lab,71.7,16117
E14000699,Con,72.3,21555
E14000700,Con,68.9,17413
E14000701,Lab,64.9,15603
E14000702,Con,70,4190
E14000703,Con,71.4,1657
E14000704,Con,68.2,15411
E14000705,Con,73,9502
E14000706,Con,70.5,11805
E14000707,Con,67.8,17023
E14000708,Lab,71.1,32149
E14000709,Lab,64.6,17350
E14000710,Lab,72.6,4694
E14000711,Con,67,9430
E14000712,Con,65.2,5520
E14000713,Con,66.7,17211
E14000714,Con,69.2,20094
E14000715,Con,67.2,9347
E14000716,Lab,57.5,2565
E14000717,Con,61.8,7973
E14000718,Lab,68.8,20714
E14000719,Con,73.7,17040
E14000720,Lab,66.2,35139
E14000721,Lab,66.6,37931
E14000722,Con,64.5,5253
E14000723,Lab,67.8,5376
E14000724,Con,71.9,15405
E14000725,Lab,67.4,25405
E14000726,Lab,71.8,18651
E14000727,Lab,70.4,15560
E14000728,Con,73.1,12429
E14000729,Con,66.2,7031
E14000730,Con,73.4,18168
E14000731,Con,70.9,1757
E14000732,Lab,72.1,13314
E14000733,Lab,59.2,7650
E14000734,Con,71.7,14356
E14000735,Con,69.9,346
E14000736,Con,63.9,15956
E14000737,Lab,65.2,18115
E14000738,Con,69.9,5514
E14000739,Con,70.3,9445
E14000740,Lab,63.9,10174
E14000741,Con,68.2,1072
E14000742,Con,76.1,22294
E14000743,Con,71,15013
E14000744,Con,72.9,19035
E14000745,Con,71,16951
E14000746,Con,75.7,9236
E14000747,Lab,62.4,7617
E14000748,Lab,73.5,2322
E14000749,Con,77.4,12031
E14000750,Lab,67,30509
E14000751,Con,69.4,17723
E14000752,Lab,77.9,30738
E14000753,Con,74.9,23484
E14000754,Lab,60.9,12341
E14000755,Lab,77.6,18757
E14000756,Lab,65.4,12005
E14000757,Con,70.9,14475
E14000758,Lab,63.1,5815
E14000759,Lab,72.5,9639
E14000760,Lab,67.5,31647
E14000761,Lab,67.6,831
E14000762,Con,67.3,21069
E14000763,Lab,73.4,33215
E14000764,Lab,69.1,20263
E14000765,Lab,66.4,17263
E14000766,Lab,72.4,239
E14000767,Con,77.4,18076
E14000768,Lab,63.8,20
E14000769,Con,69.2,10562
E14000770,LD,76.2,4124
E14000771,Lab,55.5,10396
E14000772,Lab,57.4,14322
E14000773,Lab,57.4,8025
E14000774,Con,70.3,7500
E14000775,Lab,67.9,42214
E14000776,Lab,68.5,6661
E14000777,Lab,53.2,23698
E14000778,Lab,62.8,12752
E14000779,Lab,75.6,16991
E14000780,Lab,67.9,4224
E14000781,Lab,62.1,15965
E14000782,Lab,67.4,22428
E14000783,Lab,66.9,26261
E14000784,Lab,57.9,11060
E14000785,Lab,61.5,9554
E14000786,Con,76.4,5508
E14000787,Lab,33.3,5629
E14000788,Lab,73,23162
E14000789,Lab,70.2,34899
E14000790,Lab,70.9,22607
E14000791,Con,71.9,18581
E14000792,Lab,66.6,1538
E14000793,Lab,62.9,35947
E14000794,Lab,67.3,32551
E14000795,Lab,69.9,29466
E14000796,Lab,69.3,32908
E14000797,Con,68,4269
E14000798,Con,66.8,19641
E14000799,Con,73.4,19286
E14000800,Lab,69.8,14364
E14000801,Lab,68.7,13925
E14000802,Con,72.2,8608
E14000803,Con,76.6,26457
E14000804,Con,68.7,17723
E14000805,Lab,63.2,13542
E14000806,Con,70.2,23430
E14000807,Lab,55.1,31445
E14000808,Lab,61,31730
E14000809,Lab,71.8,29875
E14000810,Con,64.5,1057
E14000811,Con,73,25692
E14000812,Con,67.1,19198
E14000813,Con,75,20983
E14000814,Con,74.7,11616
E14000815,Con,74.2,15339
E14000816,Con,69.6,16086
E14000817,Con,73.2,19673
E14000818,Con,72.4,23326
E14000819,Lab,58.4,13873
E14000820,Con,65.8,1020
E14000821,Con,71.7,1975
E14000822,Con,69.8,1665
E14000823,Lab,70,21375
E14000824,Con,76.1,24137
E14000825,Con,68.3,1399
E14000826,Con,68.4,2104
E14000827,Con,70.8,21995
E14000828,Con,72.1,23431
E14000829,Con,72.9,18149
E14000830,Con,73.4,24380
E14000831,Lab,67,14937
E14000832,Lab,67.2,19261
E14000833,Lab,73.1,10349
E14000834,Lab,66.8,30
E14000835,Con,72,17160
E14000836,Lab,60.3,14499
E14000837,Con,74,7200
E14000838,Con,73.5,4332
E14000839,Con,73,25777
E14000840,Lab,64.6,12939
E14000841,Con,73.4,20862
E14000842,Con,63.1,21270
E14000843,Con,69.9,2860
E14000844,Con,77.3,27772
E14000845,Con,73.2,16835
E14000846,Con,75.7,10235
E14000847,Con,74.1,21602
E14000848,LD,75.3,3512
E14000849,Con,69,16355
E14000850,Con,77,17103
E14000851,Con,68.5,8335
E14000852,Con,66.5,10738
E14000853,Lab,65.8,19284
E14000854,Con,65.3,8510
E14000855,Con,68.6,18008
E14000856,Lab,66.6,8792
E14000857,Con,72.2,22679
E14000858,Con,71,13286
E14000859,Con,67.7,13788
E14000860,Con,75.2,22877
E14000861,Con,68.6,807
E14000862,Con,66.4,1159
E14000863,Con,68.6,507
E14000864,Lab,69.2,15596
E14000865,Lab,63.7,19590
E14000866,Lab,57.3,11160
E14000867,Lab,67.6,15162
E14000868,Con,66.6,4739
E14000869,Con,72.8,15466
E14000870,Lab,65.2,8182
E14000871,Lab,63.2,17198
E14000872,Con,74.3,19461
E14000873,Lab,68.8,23284
E14000874,LD,79.4,816
E14000875,Con,69,1279
E14000876,Lab,69.8,1322
E14000877,Con,71.3,15910
E14000878,Lab,48.4,683
E14000879,Con,65.5,5019
E14000880,Lab,66.9,6807
E14000881,Con,67.6,14209
E14000882,Lab,67.3,27712
E14000883,Con,66.1,9965
E14000884,Lab,63.9,1554
E14000885,Lab,61.6,15723
E14000886,Con,74.3,331
E14000887,Con,72.1,1554
E14000888,Con,70.4,23450
E14000889,Lab,73.1,3749
E14000890,Con,69.5,2876
E14000891,Lab,63.7,9485
E14000892,Con,70.2,7363
E14000893,Con,72.1,17614
E14000894,Con,70.8,13199
E14000895,Con,70.5,23108
E14000896,Con,79.1,45
E14000897,Lab,64.1,14819
E14000898,Con,65,9850
E14000899,Con,64.3,5548
E14000900,Con,68,13778
E14000901,Con,74.6,18046
E14000902,Con,69.2,3216
E14000903,Lab,65.8,3882
E14000904,Lab,60,11387
E14000905,Con,71.1,8212
E14000906,Con,72.7,13980
E14000907,Con,68.9,18050
E14000908,Con,78,8010
E14000909,Con,73.4,23104
E14000910,Con,73.3,24966
E14000911,Lab,61,19132
E14000912,Con,73.1,17333
E14000913,Con,68.5,3435
E14000914,Lab,65.3,3431
E14000915,Lab,65.1,6059
E14000916,Lab,75.5,15618
E14000917,Con,73.9,13772
E14000918,Con,71.6,21917
E14000919,Lab,61.7,27748
E14000920,Lab,63.2,11798
E14000921,Lab,59.5,19143
E14000922,Lab,77.6,2125
E14000923,Lab,65,13828
E14000924,Con,70,5198
E14000925,Con,73,4681
E14000926,Con,73.6,6627
E14000927,Con,62.9,15211
E14000928,Con,74.4,19985
E14000929,Con,72.4,25237
E14000930,Lab,65.2,16998
E14000931,Con,73,20571
E14000932,Con,75.7,22906
E14000933,Con,64.1,11490
E14000934,Con,76.2,15952
E14000935,Con,68.9,11970
E14000936,Con,68.7,11695
E14000937,Con,73.2,16158
E14000938,Con,74,17443
E14000939,Con,65.9,24897
E14000940,Con,71.8,18631
E14000941,Con,73.6,16678
E14000942,Con,75.8,22840
E14000943,Con,72.4,7421
E14000944,Lab,64.3,14508
E14000945,Con,69.6,22733
E14000946,Con,71.8,17749
E14000947,Con,70.8,2464
E14000948,Con,68.8,6387
E14000949,Con,69.8,14168
E14000950,Con,74.2,15816
E14000951,Con,74.8,19550
E14000952,Con,67.3,18312
E14000953,Con,77.4,21590
E14000954,Con,71.2,18326
E14000955,Con,65.2,31
E14000956,Lab,66.8,11503
E14000957,Con,69.7,10000
E14000958,Con,69.1,2914
E14000959,Con,69,13425
E14000960,Con,78.3,6109
E14000961,Con,69,11142
E14000962,Lab,66,18406
E14000963,Lab,66.9,24343
E14000964,Con,76.3,312
E14000965,Con,75.9,7729
E14000966,Con,70.6,10830
E14000967,Lab,59.5,8084
E14000968,Con,69.7,3386
E14000969,Lab,64.7,14477
E14000970,Lab,64.5,8715
E14000971,Lab,71.2,888
E14000972,Lab,58.2,3897
E14000973,Lab,58.4,2359
E14000974,Con,63.1,663
E14000975,Con,73.8,17495
E14000976,Con,67.1,7654
E14000977,Con,73.8,21958
E14000978,Lab,70.9,26285
E14000979,Lab,69.9,19705
E14000980,Lab,77,687
E14000981,Con,73.2,16012
E14000982,Lab,62,9997
E14000983,Con,71.6,24943
E14000984,Con,73.8,12698
E14000985,Con,69.9,15339
E14000986,Con,66.1,12347
E14000987,Con,72.4,14787
E14000988,Con,73.8,15887
E14000989,Con,65.6,720
E14000990,Con,72.5,22574
E14000991,Con,74.2,25499
E14000992,Con,72.2,9564
E14000993,Con,71.1,19001
E14000994,Con,74.7,12071
E14000995,Con,64.4,345
E14000996,Con,71.6,19801
E14000997,Con,73.5,23508
E14000998,Lab,74.6,15458
E14000999,Con,67.4,14283
E14001000,Con,73.9,20686
E14001001,Con,72.9,13477
E14001002,Lab,67.7,34584
E14001003,Con,75.8,3792
E14001004,Con,72.5,16465
E14001005,LD,79.5,9762
E14001006,Lab,73.4,11666
E14001007,Con,66.8,5034
E14001008,Lab,67.1,20250
E14001009,Lab,65.8,2176
E14001010,Lab,71.7,23320
E14001011,Con,56.6,2601
E14001012,Lab,65.4,8892
E14001013,Lab,70.8,32017
E14001014,Lab,68.3,10435
E14001015,Con,74.1,17380
E14001016,Lab,63.1,16483
E14001017,Lab,67.5,9582
E14001018,Lab,72.4,2549
E14001019,Lab,72.8,1206
E14001020,Lab,60.3,12940
E14001021,Con,67.8,2092
E14001022,Con,65.2,9215
E14001023,Con,74.3,23628
E14001024,Lab,73.3,3928
E14001025,Con,67.2,12460
E14001026,Con,73.8,7582
E14001027,Con,70.9,7369
E14001028,Lab,58.7,14803
E14001029,Lab,61.2,7713
E14001030,Lab,54.7,4460
E14001031,Con,75.4,19091
E14001032,Lab,65.7,36754
E14001033,Lab,74.2,11689
E14001034,Con,66.9,17063
E14001035,Con,75.9,21328
E14001036,Lab,67.8,11512
E14001037,LD,77.9,777
E14001038,Con,68.7,11544
E14001039,Lab,63.1,16027
E14001040,Con,77.2,5622
E14001041,Con,78.8,9999
E14001042,Con,73.3,22384
E14001043,Lab,78.4,8323
E14001044,Lab,78.5,5365
E14001045,Con,71.2,18646
E14001046,Con,73.6,21241
E14001047,Con,72.5,16724
E14001048,Con,75.5,18798
E14001049,Lab,60.1,4587
E14001050,Lab,60.2,8514
E14001051,Lab,70.6,2185
E14001052,Con,69.6,2508
E14001053,Lab,69.2,3925
E14001054,Lab,61.9,8379
E14001055,Con,70.1,12090
E14001056,Con,69.4,6578
E14001057,Con,72.8,12246
E14001058,Con,65.8,13334
E14001059,Lab,60,14944
E14001060,Con,71.6,14723
E14001061,Lab,68.7,18575
E14001062,Con,75.7,8289
N06000001,DUP,67.5,8474
N06000002,DUP,67.3,2081
N06000003,DUP,66.1,1996
N06000004,SF,65.1,21652
N06000005,DUP,60.6,15923
N06000006,DUP,61.2,8842
N06000007,SF,75.8,875
N06000008,SF,65.4,169
N06000009,DUP,62.1,19229
N06000010,SF,68.2,12890
N06000011,SF,68.5,12489
N06000012,DUP,64.1,20643
N06000013,Ind,60.9,1208
N06000014,DUP,63.3,3208
N06000015,SF,67.2,2446
N06000016,DUP,60.2,18343
N06000017,DUP,63.9,7992
N06000018,SF,55.1,7956
S14000001,SNP,59.2,4139
S14000002,Con,68.5,4752
S14000003,SNP,59.2,195
S14000004,Con,63,2645
S14000005,SNP,71.5,1328
S14000006,Con,64.9,2774
S14000007,Con,61.6,3693
S14000008,Con,71.5,11060
S14000009,LD,65.9,2044
S14000010,SNP,65.3,1267
S14000011,Lab,63.3,1586
S14000012,SNP,65.9,4264
S14000013,Con,69.5,5643
S14000014,Con,72.4,9441
S14000015,SNP,65.2,6645
S14000016,SNP,61.7,5262
S14000017,SNP,67.4,844
S14000018,LD,78.1,5339
S14000019,SNP,67.3,3866
S14000020,Lab,70.6,3083
S14000021,Con,76.7,4712
S14000022,SNP,66,3425
S14000023,SNP,71.2,1625
S14000024,Lab,74.1,15514
S14000025,SNP,69.4,1097
S14000026,LD,73.8,2988
S14000027,SNP,69.6,1007
S14000028,SNP,65.4,4923
S14000029,SNP,55.9,2267
S14000030,SNP,54.6,75
S14000031,SNP,62.1,1060
S14000032,Lab,53,242
S14000033,SNP,60.9,2561
S14000034,SNP,64.4,2027
S14000035,SNP,56.2,60
S14000036,SNP,60.9,3267
S14000037,Con,68.4,2607
S14000038,SNP,66.4,384
S14000039,SNP,68.7,4924
S14000040,SNP,63.4,6269
S14000041,Lab,63.5,259
S14000042,SNP,65.3,266
S14000043,SNP,65.1,2919
S14000044,SNP,64.7,3878
S14000045,Lab,66.3,885
S14000046,Con,67.4,4159
S14000047,SNP,61.5,318
S14000048,SNP,64.8,3633
S14000049,SNP,71.3,2
S14000050,Con,70.6,3359
S14000051,LD,68.1,4563
S14000052,SNP,69.1,2613
S14000053,SNP,68,2541
S14000054,SNP,71.8,21
S14000055,SNP,71.7,5919
S14000056,Lab,63.5,265
S14000057,Con,74.3,148
S14000058,Con,71.2,7950
S14000059,SNP,65.2,2288
W07000041,Lab,70.6,5259
W07000042,Lab,72.9,4240
W07000043,Lab,71,5235
W07000044,Lab,70.4,1832
W07000045,Lab,67.9,12024
W07000046,Lab,73.3,3269
W07000047,Lab,65.5,10598
W07000048,Lab,60.1,13168
W07000049,Lab,66.7,16761
W07000050,Lab,68.1,17196
W07000051,Lab,77.4,4174
W07000052,Lab,65.2,13746
W07000053,Lab,62.1,10240
W07000054,Con,76.6,8206
W07000055,Lab,64.3,8003
W07000056,Lab,37.1,1951
W07000057,PC,68.2,92
W07000058,Con,71,635
W07000059,Con,69.8,3437
W07000060,Lab,68,2379
W07000061,PC,67.9,4850
W07000062,Lab,69.7,4356
W07000063,Con,68.7,9285
W07000064,PC,73.3,104
W07000065,Con,72.1,314
W07000066,Con,72.1,3110
W07000067,PC,73.3,3908
W07000068,Con,59.7,1425
W07000069,Lab,68.5,12631
W07000070,Lab,62,13238
W07000071,Lab,60.5,16334
W07000072,Lab,63.2,11907
W07000073,Lab,69.6,4700
W07000074,Lab,65.1,13871
W07000075,Lab,65.9,11448
W07000076,Lab,64.1,12078
W07000077,Lab,64.2,11412
W07000078,Con,72.6,2190
W07000079,Lab,69.8,12551
W07000080,Lab,66.3,14864
