ccode,first17,turnout17,majority
E14000530,Con,64.2,11473
E14000531,Con,66.7,14307
E14000532,Con,72.1,6426
E14000533,Con,67.3,8300
E14000534,Con,75.8,23883
E14000535,Lab,64,441
E14000536,Con,68.5,17478
E14000537,Lab,58.8,11295
E14000538,Con,71.2,14656
E14000539,Con,73.4,12399
E14000540,Lab,61.9,21608
E14000541,Lab,60.9,15546
E14000542,Lab,58.9,13283
E14000543,Lab,68.5,209
E14000544,Con,65,13400
E14000545,Con,68.3,9466
E14000546,Lab,66.5,4852
E14000547,LD,74.3,5694
E14000548,Lab,67.1,8961
E14000549,Lab,71,2416
E14000550,Con,72.3,24543
E14000551,Con,76,15087
E14000552,Lab,67.5,789
E14000553,Lab,67,12972
E14000554,Con,71.8,11781
E14000555,Lab,69.5,35393
E14000556,Con,69,14042
E14000557,Con,73.1,22165
E14000558,Con,69.2,9073
E14000559,Lab,67.7,25514
E14000560,Lab,64,6917
E14000561,Lab,57.2,7285
E14000562,Lab,69.4,33944
E14000563,Lab,61.3,31026
E14000564,Lab,59,28714
E14000565,Lab,61.3,4667
E14000566,Lab,63,18383
E14000567,Lab,65.9,15207
E14000568,Lab,61.3,16574
E14000569,Lab,64,502
E14000570,Lab,67.2,20368
E14000571,Lab,56,19601
E14000572,Con,64.1,2023
E14000573,Lab,59.8,2523
E14000574,Lab,70.2,13477
E14000575,Lab,67,7915
E14000576,Con,67.7,17494
E14000577,Lab,63.4,5288
E14000578,Lab,67.2,3797
E14000579,Lab,61.4,13126
E14000580,Con,70.1,936
E14000581,Lab,69,36200
E14000582,Con,62.7,16572
E14000583,Con,68.8,18351
E14000584,Con,65.2,7937
E14000585,Con,60.8,7711
E14000586,Con,70.6,16016
E14000587,Lab,64.8,20540
E14000588,Lab,60.6,6700
E14000589,Lab,67.4,21902
E14000590,Con,69.5,18422
E14000591,Lab,65,27997
E14000592,Lab,68.4,17061
E14000593,Lab,72.4,12182
E14000594,Con,70.5,24002
E14000595,Con,65.3,15448
E14000596,Con,68.2,12363
E14000597,Lab,72.5,9868
E14000598,Green,76.4,14699
E14000599,Lab,70.1,13394
E14000600,Lab,71.7,4761
E14000601,Lab,65.5,15987
E14000602,Lab,77,37336
E14000603,Con,72.4,15816
E14000604,Con,71.7,9590
E14000605,Con,73.5,16573
E14000606,Con,64.6,15792
E14000607,Con,75,863
E14000608,Spk,66.2,25725
E14000609,Lab,62.3,6353
E14000610,Con,67.5,10047
E14000611,Lab,70.9,4375
E14000612,Lab,69.2,5965
E14000613,Con,72.2,18441
E14000614,Con,73.4,609
E14000615,Lab,67.1,37316
E14000616,Con,70.8,1577
E14000617,Lab,71.2,12661
E14000618,Con,64.2,8391
E14000619,Lab,72.7,187
E14000620,Con,69.1,2599
E14000621,LD,71.6,1369
E14000622,Con,64.4,18872
E14000623,Con,77.8,15680
E14000624,Con,72.4,17185
E14000625,Con,70.7,16341
E14000626,Con,63.7,10458
E14000627,Con,74.3,4507
E14000628,Con,70.2,13572
E14000629,Con,66.1,8188
E14000630,Con,72.3,2569
E14000631,Con,77.1,22140
E14000632,Lab,66.5,9605
E14000633,Con,70.5,22621
E14000634,Con,71.2,2438
E14000635,Con,74.8,16630
E14000636,Con,71.8,353
E14000637,Lab,72.8,7512
E14000638,Con,72,25171
E14000639,Con,62.8,3148
E14000640,Lab,77.4,9176
E14000641,Lab,67.9,12364
